Count of combinations
% num: 1048576
dict_keys(['k_10', 'k_12', 'k_2', 'k_9'])
(2, 15, 0, 13): 32
(3, 10, 0, 12): 96
(3, 3, 2, 11): 96
(3, 10, 0, 9): 96
(4, 7, 0, 13): 32
(3, 12, 0, 7): 48
(3, 7, 0, 10): 96
(3, 15, 0, 8): 32
(3, 4, 0, 9): 48
(4, 12, 0, 10): 48
(3, 14, 0, 8): 32
(3, 12, 2, 15): 48
(3, 12, 0, 2): 48
(2, 4, 0, 1): 48
(4, 10, 0, 1): 96
(3, 3, 0, 15): 96
(3, 0, 0, 1): 48
(3, 14, 0, 13): 32
(3, 14, 2, 9): 96
(3, 2, 0, 6): 96
(3, 2, 0, 10): 96
(4, 1, 0, 6): 48
(3, 4, 0, 4): 48
(2, 6, 0, 6): 96
(3, 8, 0, 12): 80
(3, 1, 2, 2): 48
(3, 6, 0, 3): 96
(4, 14, 0, 4): 96
(2, 8, 0, 4): 80
(3, 12, 0, 4): 80
(3, 5, 0, 1): 48
(3, 8, 0, 1): 80
(3, 10, 2, 13): 32
(3, 12, 0, 11): 48
(3, 5, 0, 4): 48
(2, 12, 0, 3): 48
(3, 8, 0, 3): 48
(4, 3, 0, 3): 96
(3, 7, 0, 6): 96
(2, 10, 0, 8): 32
(3, 12, 0, 6): 48
(3, 7, 2, 10): 96
(3, 10, 0, 0): 32
(3, 9, 0, 1): 80
(3, 9, 0, 4): 80
(2, 1, 0, 14): 48
(4, 4, 0, 8): 80
(3, 1, 0, 6): 48
(3, 10, 0, 13): 32
(3, 5, 0, 14): 48
(3, 13, 0, 6): 48
(2, 14, 0, 12): 96
(3, 9, 2, 1): 48
(3, 14, 0, 4): 96
(5, 0, 0, 0): 80
(4, 6, 0, 14): 96
(3, 13, 0, 3): 48
(3, 1, 0, 11): 48
(3, 2, 2, 6): 96
(4, 0, 0, 8): 80
(4, 8, 0, 12): 48
(5, 11, 0, 7): 64
(3, 11, 0, 8): 32
(5, 5, 0, 0): 80
(3, 0, 0, 11): 48
(3, 14, 0, 9): 96
(4, 4, 0, 0): 80
(3, 5, 2, 4): 80
(4, 11, 0, 15): 64
(5, 13, 0, 5): 112
(5, 7, 0, 7): 96
(4, 0, 0, 5): 80
(3, 0, 0, 14): 48
(4, 15, 0, 7): 64
(4, 1, 0, 5): 80
(3, 0, 2, 3): 48
(5, 15, 0, 11): 64
(4, 10, 0, 2): 64
(3, 15, 2, 8): 32
(4, 13, 0, 13): 112
(5, 9, 0, 15): 48
(4, 11, 0, 2): 64
(5, 9, 0, 5): 112
(3, 15, 0, 12): 96
(4, 12, 0, 0): 112
(3, 13, 2, 14): 48
(4, 15, 0, 3): 64
(5, 2, 0, 11): 96
(5, 2, 0, 9): 32
(4, 13, 0, 0): 112
(3, 11, 2, 12): 96
(4, 1, 0, 0): 80
(4, 14, 0, 14): 64
(5, 5, 0, 2): 48
(5, 13, 0, 15): 48
(4, 9, 0, 5): 112
(4, 9, 0, 7): 48
(4, 15, 0, 14): 64
(4, 10, 0, 7): 64
(5, 7, 0, 13): 32
(4, 12, 2, 0): 80
(4, 11, 0, 11): 64
(5, 15, 0, 9): 96
(4, 9, 0, 10): 48
(5, 12, 0, 10): 48
(4, 8, 0, 10): 48
(4, 2, 0, 1): 32
(4, 14, 2, 7): 64
(4, 13, 0, 15): 48
(4, 12, 0, 5): 112
(5, 0, 0, 2): 48
(4, 3, 0, 12): 32
(4, 2, 0, 12): 32
(4, 1, 2, 5): 112
(4, 6, 0, 9): 32
(4, 5, 0, 10): 48
(5, 10, 0, 1): 96
(4, 4, 0, 7): 48
(4, 10, 2, 11): 64
(5, 11, 0, 13): 32
(4, 5, 0, 7): 48
(4, 1, 0, 2): 48
(5, 1, 0, 6): 48
(4, 14, 0, 11): 64
(4, 6, 0, 8): 32
(4, 3, 0, 13): 32
(4, 7, 0, 8): 32
(4, 7, 0, 5): 32
(5, 14, 0, 4): 96
(4, 8, 0, 15): 48
(4, 4, 2, 15): 48
(4, 12, 0, 15): 48
(5, 6, 0, 10): 96
(4, 12, 0, 2): 48
(5, 3, 0, 3): 96
(4, 6, 2, 9): 32
(4, 11, 0, 4): 96
(4, 3, 0, 9): 32
(5, 8, 0, 1): 48
(4, 10, 0, 4): 96
(4, 10, 0, 9): 96
(5, 4, 0, 8): 80
(4, 0, 0, 3): 48
(4, 8, 2, 2): 48
(4, 4, 0, 2): 48
(5, 3, 0, 6): 96
(5, 6, 0, 14): 96
(4, 1, 0, 14): 48
(4, 1, 0, 3): 48
(4, 6, 0, 13): 32
(4, 15, 0, 1): 96
(5, 8, 0, 12): 48
(4, 14, 0, 12): 96
(4, 3, 2, 13): 32
(5, 4, 0, 4): 80
(4, 13, 0, 10): 48
(4, 14, 0, 1): 96
(4, 2, 0, 6): 96
(4, 5, 0, 0): 80
(4, 0, 2, 10): 48
(4, 3, 0, 11): 96
(4, 11, 0, 1): 96
(5, 1, 0, 3): 48
(4, 5, 0, 6): 48
(4, 7, 0, 7): 96
(4, 5, 0, 13): 80
(4, 15, 2, 1): 96
(4, 3, 0, 6): 96
(4, 0, 0, 6): 48
(5, 14, 0, 8): 32
(4, 13, 2, 6): 48
(4, 7, 0, 11): 96
(4, 4, 0, 13): 80
(4, 9, 0, 9): 48
(5, 12, 0, 14): 48
(4, 11, 2, 4): 96
(4, 7, 0, 3): 96
(4, 2, 0, 11): 96
(4, 15, 0, 4): 96
(4, 6, 0, 11): 96
(4, 6, 0, 6): 96
(5, 10, 0, 12): 96
(5, 4, 0, 5): 80
(4, 7, 2, 3): 96
(4, 8, 0, 9): 48
(4, 8, 0, 4): 48
(4, 2, 0, 3): 96
(5, 5, 0, 8): 80
(5, 6, 0, 2): 96
(5, 5, 0, 5): 80
(6, 4, 0, 0): 112
(4, 2, 0, 14): 96
(4, 5, 0, 8): 80
(5, 7, 0, 2): 96
(4, 12, 0, 12): 48
(5, 8, 0, 0): 112
(5, 1, 0, 0): 80
(4, 7, 0, 14): 96
(4, 15, 0, 9): 96
(4, 9, 2, 8): 80
(5, 7, 0, 15): 96
(6, 3, 0, 7): 96
(5, 3, 0, 14): 96
(5, 9, 0, 0): 112
(5, 3, 0, 7): 96
(6, 8, 0, 5): 80
(4, 2, 2, 14): 96
(4, 9, 0, 12): 48
(4, 0, 0, 2): 48
(5, 9, 0, 13): 112
(4, 5, 2, 12): 48
(5, 4, 0, 0): 80
(5, 2, 0, 14): 96
(6, 6, 0, 11): 96
(4, 11, 0, 13): 32
(5, 8, 2, 0): 80
(5, 2, 0, 3): 96
(5, 6, 0, 7): 96
(6, 10, 0, 15): 64
(5, 14, 0, 12): 96
(5, 13, 0, 7): 48
(5, 3, 2, 7): 96
(4, 6, 0, 10): 96
(5, 6, 0, 11): 96
(5, 13, 0, 10): 48
(5, 8, 0, 5): 112
(5, 1, 0, 7): 48
(6, 12, 0, 9): 80
(4, 8, 0, 1): 48
(5, 15, 0, 12): 96
(5, 15, 0, 1): 96
(5, 4, 2, 5): 112
(5, 3, 0, 11): 96
(6, 14, 0, 2): 64
(5, 0, 0, 10): 48
(5, 6, 2, 11): 96
(5, 10, 0, 8): 32
(5, 0, 0, 7): 48
(5, 11, 0, 9): 96
(5, 12, 0, 15): 48
(5, 1, 2, 15): 48
(6, 1, 0, 13): 112
(4, 4, 0, 4): 80
(5, 11, 0, 5): 32
(5, 4, 0, 2): 48
(5, 14, 0, 9): 96
(5, 11, 0, 8): 32
(6, 2, 0, 10): 96
(5, 15, 0, 13): 32
