Count of combinations
% num: 1048576
dict_keys(['k_10', 'k_12', 'k_2', 'k_9'])
(5, 14, 2, 2): 64
(0, 6, 8, 13): 96
(11, 7, 2, 2): 64
(14, 12, 0, 12): 96
(5, 12, 2, 0): 80
(14, 14, 0, 11): 64
(11, 5, 2, 13): 32
(0, 4, 8, 10): 80
(1, 7, 2, 3): 96
(14, 1, 0, 9): 96
(2, 10, 2, 14): 64
(5, 10, 2, 14): 64
(1, 5, 2, 1): 48
(0, 3, 8, 8): 96
(5, 6, 2, 10): 96
(0, 8, 8, 6): 80
(14, 3, 0, 5): 64
(0, 14, 8, 2): 64
(1, 15, 2, 11): 64
(11, 4, 2, 3): 64
(1, 13, 2, 9): 80
(14, 6, 0, 1): 64
(0, 10, 8, 15): 64
(11, 3, 2, 8): 64
(2, 4, 2, 15): 48
(5, 13, 2, 15): 48
(15, 15, 0, 13): 128
(5, 8, 0, 3): 48
(15, 13, 0, 10): 64
(4, 10, 0, 11): 64
(11, 8, 2, 14): 64
(0, 9, 8, 7): 80
(5, 3, 0, 8): 32
(15, 11, 0, 8): 128
(0, 7, 8, 12): 96
(11, 6, 2, 12): 64
(15, 0, 0, 6): 64
(4, 7, 8, 0): 96
(0, 5, 8, 11): 80
(5, 4, 0, 14): 48
(4, 5, 8, 7): 80
(0, 15, 8, 14): 64
(5, 6, 0, 12): 32
(4, 2, 8, 5): 96
(5, 5, 2, 6): 48
(2, 6, 2, 13): 32
(0, 11, 8, 3): 64
(5, 7, 2, 13): 32
(4, 15, 8, 15): 64
(5, 9, 2, 11): 48
(2, 1, 2, 11): 48
(1, 1, 8, 13): 80
(5, 2, 2, 9): 32
(1, 10, 8, 10): 64
(2, 3, 2, 9): 32
(4, 13, 8, 9): 48
(15, 9, 0, 0): 32
(0, 13, 2, 15): 48
(1, 12, 8, 8): 48
(3, 3, 2, 2): 96
(6, 7, 0, 15): 96
(15, 14, 0, 7): 64
(1, 14, 8, 6): 64
(0, 15, 2, 4): 96
(1, 8, 8, 2): 80
(3, 13, 2, 0): 112
(6, 1, 2, 0): 80
(0, 0, 2, 3): 48
(4, 8, 8, 10): 80
(0, 11, 2, 1): 96
(15, 10, 0, 11): 64
(3, 9, 2, 10): 48
(0, 5, 2, 6): 48
(1, 4, 8, 15): 80
(4, 6, 8, 1): 96
(15, 12, 0, 9): 96
(1, 6, 8, 0): 96
(0, 7, 2, 13): 32
(6, 12, 0, 10): 48
(0, 9, 2, 11): 48
(1, 13, 8, 7): 80
(3, 4, 2, 7): 48
(0, 2, 2, 9): 32
(5, 8, 0, 6): 48
(1, 11, 8, 12): 96
(4, 3, 8, 4): 96
(15, 6, 0, 5): 64
(3, 12, 2, 5): 112
(1, 0, 8, 11): 80
(5, 3, 0, 13): 32
(3, 10, 2, 2): 64
(6, 1, 0, 6): 48
(4, 1, 8, 8): 80
(15, 3, 0, 1): 64
(3, 2, 2, 15): 96
(1, 15, 8, 9): 96
(6, 0, 2, 15): 48
(4, 10, 8, 14): 64
(5, 4, 0, 11): 48
(3, 12, 2, 4): 48
(6, 11, 2, 4): 96
(4, 12, 8, 12): 48
(6, 4, 0, 3): 48
(5, 6, 0, 9): 32
(6, 13, 2, 3): 48
(3, 14, 2, 14): 64
(3, 7, 2, 3): 96
(6, 6, 0, 8): 32
(1, 5, 8, 5): 80
(5, 0, 8, 0): 80
(6, 8, 0, 14): 48
(3, 0, 2, 1): 80
(3, 3, 2, 10): 96
(6, 15, 2, 1): 96
(5, 11, 8, 7): 64
(6, 3, 0, 12): 32
(3, 5, 2, 6): 48
(1, 9, 8, 1): 48
(5, 13, 8, 5): 48
(2, 12, 8, 13): 80
(6, 9, 2, 6): 48
(5, 15, 8, 11): 64
(6, 2, 2, 13): 32
(3, 8, 2, 11): 48
(2, 14, 8, 10): 64
(6, 5, 2, 11): 48
(5, 2, 8, 9): 96
(6, 7, 0, 10): 96
(2, 1, 8, 8): 48
(6, 7, 2, 9): 32
(3, 0, 2, 15): 48
(2, 10, 8, 6): 64
(5, 7, 8, 13): 96
(7, 7, 2, 2): 96
(2, 4, 8, 2): 80
(4, 11, 2, 2): 64
(2, 6, 8, 4): 96
(7, 9, 2, 0): 112
(6, 12, 0, 15): 48
(5, 10, 8, 1): 96
(2, 8, 8, 15): 80
(3, 9, 2, 6): 48
(0, 5, 2, 9): 48
(4, 3, 2, 12): 32
(7, 12, 0, 2): 48
(5, 14, 8, 4): 96
(3, 2, 2, 13): 32
(2, 0, 8, 7): 80
(5, 3, 8, 3): 32
(4, 13, 2, 7): 48
(6, 1, 0, 3): 48
(3, 5, 2, 11): 48
(7, 14, 0, 13): 32
(3, 7, 2, 9): 32
(4, 6, 2, 8): 32
(5, 4, 8, 8): 80
(7, 0, 2, 7): 48
(2, 13, 8, 11): 80
(5, 6, 8, 14): 32
(7, 11, 2, 8): 32
(6, 4, 0, 6): 48
(2, 11, 8, 9): 96
(5, 8, 8, 12): 48
(7, 6, 2, 15): 96
(6, 6, 0, 13): 32
(2, 2, 2, 14): 96
(1, 14, 2, 10): 64
(6, 8, 0, 11): 48
(2, 9, 8, 5): 80
(4, 8, 2, 3): 48
(2, 13, 2, 10): 48
(1, 12, 2, 8): 80
(6, 3, 0, 9): 32
(6, 0, 8, 5): 48
(2, 5, 8, 1): 48
(1, 10, 2, 6): 64
(1, 6, 2, 2): 96
(7, 4, 2, 1): 80
(2, 0, 2, 7): 48
(3, 5, 8, 10): 80
(2, 11, 2, 8): 32
(2, 6, 2, 15): 96
(7, 11, 0, 8): 32
(3, 7, 8, 8): 96
(4, 0, 2, 9): 48
(7, 14, 2, 13): 32
(2, 8, 2, 4): 48
(5, 13, 2, 5): 80
(6, 7, 8, 9): 96
(1, 3, 2, 15): 96
(7, 0, 0, 14): 48
(3, 9, 8, 6): 80
(7, 12, 2, 11): 48
(2, 3, 2, 3): 96
(5, 6, 2, 2): 96
(3, 13, 8, 2): 80
(0, 13, 2, 5): 80
(6, 2, 8, 13): 96
(1, 13, 2, 7): 48
(3, 11, 8, 4): 96
(2, 1, 2, 6): 48
(6, 1, 8, 10): 80
(2, 14, 2, 13): 32
(3, 0, 8, 15): 80
(1, 15, 2, 12): 96
(7, 12, 0, 7): 48
(6, 14, 8, 1): 96
(5, 4, 2, 10): 48
(3, 15, 8, 0): 32
(1, 0, 2, 11): 48
(7, 14, 0, 8): 32
(0, 5, 2, 10): 48
(3, 8, 8, 7): 80
(6, 10, 8, 4): 96
(0, 7, 2, 12): 32
(5, 9, 2, 7): 48
(3, 3, 8, 12): 96
(0, 8, 0, 15): 48
(0, 9, 2, 7): 48
(1, 5, 2, 14): 48
(5, 15, 2, 2): 64
(6, 6, 8, 3): 32
(3, 4, 8, 11): 80
(0, 2, 2, 8): 32
(1, 7, 2, 5): 32
(3, 6, 8, 9): 96
(0, 3, 0, 9): 32
(5, 7, 2, 15): 96
(0, 1, 2, 15): 48
(5, 0, 2, 0): 112
(1, 9, 2, 3): 48
(3, 1, 8, 14): 80
(1, 2, 2, 1): 32
(6, 3, 8, 14): 32
(5, 11, 2, 14): 64
(0, 4, 0, 2): 48
(5, 0, 2, 4): 48
(0, 14, 2, 4): 96
(6, 4, 8, 12): 48
(0, 6, 0, 13): 32
(3, 10, 8, 5): 32
(5, 5, 2, 10): 48
(0, 12, 2, 3): 48
(2, 10, 2, 10): 64
(7, 11, 0, 13): 32
(5, 2, 2, 3): 96
(7, 3, 8, 0): 96
(3, 12, 8, 3): 80
(0, 10, 2, 1): 96
(5, 7, 2, 12): 32
(7, 4, 8, 7): 80
(0, 13, 0, 10): 48
(7, 0, 0, 11): 48
(5, 12, 2, 1): 80
(2, 1, 2, 8): 80
(4, 13, 8, 13): 48
(5, 8, 2, 6): 48
(2, 14, 2, 6): 64
(7, 6, 8, 5): 96
(4, 11, 8, 10): 64
(5, 2, 2, 8): 32
(2, 3, 2, 2): 96
(4, 0, 8, 8): 80
(0, 0, 0, 6): 48
(5, 5, 2, 11): 48
(0, 3, 2, 11): 96
(4, 15, 8, 6): 64
(6, 2, 2, 2): 96
(0, 8, 0, 10): 48
(7, 10, 8, 9): 96
(1, 9, 2, 5): 80
(7, 1, 8, 2): 80
(4, 5, 8, 4): 16
(0, 3, 0, 12): 32
(7, 14, 8, 13): 32
(0, 4, 0, 7): 48
(6, 7, 2, 14): 96
(0, 6, 0, 8): 32
(2, 11, 2, 12): 96
(4, 9, 8, 0): 48
(1, 7, 2, 14): 96
(7, 2, 8, 1): 96
(2, 13, 2, 11): 48
(6, 5, 2, 12): 80
(4, 1, 8, 7): 80
(0, 13, 0, 15): 48
(4, 2, 2, 2): 96
(1, 0, 2, 10): 48
(4, 10, 8, 12): 96
(4, 5, 2, 0): 112
(4, 12, 8, 11): 80
(2, 9, 2, 14): 48
(0, 0, 0, 3): 48
(7, 7, 8, 4): 96
(2, 2, 2, 5): 32
(4, 8, 8, 14): 80
(1, 12, 0, 15): 48
(2, 5, 2, 3): 48
(1, 15, 2, 8): 32
(7, 11, 8, 8): 32
(2, 7, 2, 1): 32
(3, 5, 2, 13): 80
(4, 4, 8, 3): 80
(6, 6, 2, 3): 96
(7, 15, 8, 12): 96
(6, 13, 2, 1): 48
(1, 4, 2, 4): 48
(1, 10, 0, 13): 32
(0, 12, 8, 0): 48
(1, 6, 2, 3): 96
(5, 9, 8, 10): 80
(4, 15, 2, 8): 32
(3, 9, 2, 8): 112
(1, 12, 2, 6): 48
(4, 3, 2, 15): 96
(5, 5, 8, 6): 80
(5, 0, 8, 2): 80
(1, 10, 2, 13): 32
(3, 13, 2, 2): 48
(0, 3, 8, 15): 32
(0, 4, 8, 9): 16
(1, 12, 0, 10): 48
(1, 0, 0, 3): 48
(4, 8, 2, 1): 80
(7, 15, 2, 2): 64
(5, 13, 8, 15): 80
(0, 6, 8, 2): 32
(1, 15, 0, 8): 32
(5, 11, 8, 0): 32
(3, 11, 2, 0): 32
(0, 8, 8, 13): 48
(4, 10, 2, 13): 32
(5, 4, 8, 7): 80
(2, 4, 2, 0): 80
(0, 0, 8, 10): 80
(4, 1, 2, 11): 48
(2, 3, 2, 14): 96
(5, 6, 8, 12): 96
(7, 6, 2, 12): 32
(1, 10, 0, 8): 32
(0, 11, 8, 1): 96
(7, 8, 2, 5): 112
(5, 8, 8, 11): 80
(0, 13, 8, 6): 80
(2, 14, 2, 10): 64
(7, 1, 2, 7): 48
(7, 6, 2, 2): 96
(2, 1, 2, 12): 80
(5, 3, 8, 9): 96
(7, 3, 2, 8): 32
(0, 15, 8, 4): 96
(5, 12, 8, 14): 80
(7, 3, 2, 14): 96
(5, 14, 8, 5): 32
(0, 2, 8, 8): 96
(1, 0, 0, 6): 48
(2, 11, 0, 15): 64
(3, 1, 2, 14): 48
(7, 14, 2, 10): 64
(5, 1, 8, 3): 80
(1, 15, 0, 13): 32
(3, 14, 2, 5): 32
(7, 5, 2, 3): 48
(7, 1, 2, 12): 80
(3, 12, 2, 3): 48
(2, 2, 2, 3): 96
(6, 3, 8, 13): 96
(6, 8, 8, 10): 80
(4, 13, 2, 13): 80
(2, 9, 2, 1): 48
(7, 7, 2, 15): 96
(7, 0, 2, 13): 80
(4, 15, 2, 10): 64
(6, 6, 8, 8): 96
(7, 5, 2, 4): 80
(7, 12, 2, 9): 48
(6, 4, 8, 6): 80
(1, 3, 8, 5): 96
(6, 10, 8, 2): 64
(1, 4, 8, 11): 80
(2, 11, 2, 11): 64
(4, 5, 2, 2): 48
(6, 14, 8, 15): 64
(3, 0, 2, 5): 80
(1, 1, 8, 15): 80
(2, 11, 0, 10): 64
(4, 7, 2, 4): 32
(7, 15, 2, 6): 64
(3, 11, 2, 2): 64
(1, 14, 8, 9): 96
(6, 5, 8, 7): 80
(4, 9, 2, 15): 48
(3, 15, 2, 14): 64
(8, 9, 2, 12): 32
(6, 9, 8, 11): 80
(7, 0, 2, 9): 80
(4, 2, 2, 0): 32
(4, 1, 2, 7): 48
(1, 10, 8, 13): 32
(8, 4, 2, 8): 32
(3, 2, 2, 12): 32
(3, 5, 2, 7): 48
(6, 11, 8, 14): 64
(3, 7, 2, 8): 32
(1, 7, 8, 1): 96
(4, 12, 2, 11): 48
(6, 9, 2, 10): 48
(4, 10, 2, 9): 96
(1, 9, 8, 6): 80
(6, 2, 2, 12): 32
(6, 15, 8, 3): 64
(6, 5, 2, 7): 48
(1, 2, 8, 4): 96
(1, 13, 8, 3): 80
(8, 5, 2, 13): 32
(6, 7, 2, 8): 32
(7, 15, 8, 10): 64
(1, 15, 8, 8): 32
(3, 6, 0, 9): 32
(4, 3, 2, 3): 96
(7, 13, 8, 8): 80
(6, 12, 2, 15): 48
(8, 8, 2, 9): 32
(3, 8, 0, 2): 48
(5, 9, 2, 13): 80
(7, 11, 8, 6): 64
(2, 2, 8, 0): 96
(3, 3, 0, 13): 32
(6, 10, 2, 4): 96
(5, 5, 2, 8): 112
(2, 7, 8, 5): 96
(6, 1, 2, 3): 48
(7, 9, 8, 4): 16
(2, 5, 8, 11): 80
(6, 14, 2, 1): 96
(5, 0, 2, 2): 48
(3, 6, 0, 12): 32
(2, 11, 8, 15): 64
(7, 12, 8, 7): 80
(3, 8, 0, 7): 48
(2, 0, 8, 9): 48
(7, 14, 8, 12): 96
(6, 6, 2, 11): 96
(3, 3, 0, 8): 32
(7, 1, 8, 11): 80
(12, 15, 2, 10): 64
(12, 13, 2, 12): 32
(5, 15, 2, 0): 32
(3, 2, 0, 14): 96
(2, 13, 8, 13): 80
(12, 11, 2, 7): 64
(7, 4, 8, 14): 80
(12, 0, 2, 8): 32
(9, 15, 2, 10): 64
(7, 8, 8, 3): 80
(2, 3, 8, 1): 96
(9, 13, 2, 12): 32
(3, 2, 0, 11): 96
(5, 12, 2, 14): 48
(9, 11, 2, 7): 64
(12, 14, 2, 6): 64
(8, 9, 8, 8): 96
(5, 10, 2, 5): 32
(12, 1, 2, 13): 32
(9, 0, 2, 8): 32
(12, 10, 0, 15): 64
(12, 10, 2, 11): 64
(5, 1, 2, 3): 48
(12, 12, 2, 9): 32
(10, 8, 2, 14): 64
(8, 11, 8, 2): 64
(2, 14, 8, 14): 64
(10, 12, 2, 10): 64
(10, 2, 2, 12): 64
(12, 10, 0, 10): 64
(12, 14, 0, 2): 64
(2, 1, 8, 12): 48
(3, 1, 8, 0): 48
(9, 14, 2, 6): 64
(8, 15, 8, 15): 64
(10, 7, 2, 8): 64
(12, 14, 0, 7): 64
(9, 1, 2, 13): 32
(3, 14, 8, 7): 64
(10, 11, 2, 15): 64
(3, 12, 8, 5): 80
(9, 10, 2, 11): 64
(9, 12, 2, 9): 32
(8, 8, 8, 12): 96
(13, 12, 2, 10): 96
(3, 10, 8, 11): 64
(10, 15, 2, 3): 64
(8, 4, 8, 9): 96
(3, 6, 8, 15): 32
(13, 10, 2, 12): 64
(10, 4, 2, 1): 96
(8, 10, 8, 14): 64
(12, 11, 0, 3): 64
(3, 8, 8, 9): 16
(13, 1, 2, 7): 96
(13, 14, 2, 8): 64
(10, 1, 2, 13): 32
(12, 15, 0, 14): 64
(12, 11, 0, 6): 64
(8, 14, 8, 3): 64
(3, 3, 8, 2): 32
(3, 4, 8, 13): 48
(9, 4, 8, 13): 96
(8, 10, 2, 12): 64
(12, 15, 0, 11): 64
(9, 8, 8, 8): 96
(3, 15, 8, 1): 96
(8, 14, 2, 8): 64
(6, 9, 2, 9): 48
(9, 12, 8, 2): 32
(11, 5, 2, 14): 64
(13, 0, 0, 15): 96
(13, 0, 2, 6): 96
(9, 14, 8, 4): 64
(13, 11, 2, 13): 64
(11, 0, 2, 10): 64
(9, 1, 8, 15): 32
(11, 7, 2, 12): 64
(13, 13, 2, 11): 96
(9, 10, 8, 0): 64
(13, 13, 0, 2): 96
(13, 15, 2, 9): 64
(13, 0, 0, 10): 96
(3, 2, 8, 12): 96
(9, 9, 8, 12): 96
(8, 11, 2, 13): 64
(11, 2, 2, 8): 64
(7, 11, 2, 10): 64
(11, 15, 2, 15): 64
(8, 15, 2, 9): 64
(13, 13, 0, 7): 96
(14, 1, 2, 2): 64
(9, 5, 8, 9): 96
(11, 1, 2, 2): 64
(9, 0, 8, 14): 32
(11, 11, 2, 3): 64
(11, 9, 2, 1): 96
(9, 15, 8, 5): 64
(11, 12, 2, 14): 64
(13, 12, 0, 3): 96
(14, 12, 2, 14): 64
(9, 13, 8, 3): 32
(12, 10, 8, 15): 64
(14, 8, 2, 10): 64
(7, 9, 2, 2): 48
(9, 11, 8, 1): 64
(13, 1, 0, 14): 96
(10, 10, 8, 13): 128
(11, 13, 2, 13): 32
(7, 2, 2, 4): 32
(12, 12, 8, 9): 96
(10, 1, 8, 10): 64
(7, 5, 2, 15): 48
(13, 12, 0, 6): 96
(12, 14, 8, 2): 64
(10, 14, 8, 8): 128
(14, 4, 2, 7): 64
(7, 7, 2, 0): 32
(12, 1, 8, 13): 96
(10, 12, 8, 6): 64
(13, 1, 0, 11): 96
(7, 12, 2, 7): 48
(10, 8, 8, 4): 96
(14, 5, 0, 15): 64
(10, 4, 8, 0): 32
(7, 1, 2, 11): 48
(12, 11, 8, 3): 64
(10, 11, 8, 7): 64
(12, 0, 8, 8): 96
(7, 14, 2, 9): 96
(10, 13, 8, 12): 96
(14, 9, 0, 2): 64
(14, 7, 2, 6): 64
(12, 15, 8, 14): 64
(14, 5, 0, 10): 64
(10, 15, 8, 11): 64
(12, 13, 8, 12): 96
(10, 0, 8, 9): 96
(14, 2, 2, 11): 64
(14, 9, 0, 7): 64
(10, 12, 2, 2): 64
(10, 5, 8, 14): 64
(7, 6, 2, 3): 96
(10, 2, 8, 5): 64
(8, 7, 2, 13): 128
(10, 1, 2, 14): 64
(10, 9, 8, 3): 64
(15, 12, 2, 2): 64
(10, 7, 8, 1): 64
(14, 3, 0, 3): 64
(8, 2, 2, 8): 128
(11, 14, 8, 13): 128
(14, 8, 0, 8): 32
(11, 12, 8, 10): 64
(13, 13, 8, 15): 32
(14, 6, 0, 14): 64
(15, 1, 2, 14): 64
(14, 4, 0, 12): 96
(11, 10, 8, 8): 128
(13, 15, 8, 9): 64
(14, 3, 0, 6): 64
(11, 1, 8, 6): 64
(15, 4, 2, 10): 64
(14, 8, 0, 13): 32
(13, 0, 8, 2): 32
(13, 11, 8, 13): 64
(13, 13, 2, 2): 96
(14, 6, 0, 11): 64
(14, 4, 0, 9): 96
(11, 4, 8, 4): 96
(15, 8, 2, 7): 64
(15, 9, 0, 15): 64
(8, 6, 2, 12): 128
(13, 1, 2, 14): 96
(11, 8, 8, 0): 32
(15, 5, 0, 2): 64
(11, 15, 8, 7): 64
(8, 3, 2, 9): 128
(13, 4, 2, 12): 32
(13, 1, 8, 3): 32
(15, 9, 0, 10): 64
(11, 0, 8, 12): 96
(13, 14, 8, 8): 64
(11, 11, 8, 11): 64
(15, 2, 2, 6): 64
(13, 12, 8, 14): 32
(11, 13, 8, 9): 96
(15, 5, 0, 7): 64
(13, 10, 8, 12): 64
(11, 9, 8, 14): 64
(13, 9, 2, 8): 32
(15, 7, 2, 11): 64
(11, 7, 8, 5): 64
(13, 0, 2, 15): 96
(14, 0, 8, 7): 64
(9, 3, 2, 13): 128
(11, 5, 8, 3): 64
(11, 2, 8, 1): 64
(12, 8, 8, 13): 96
(13, 1, 2, 10): 96
(15, 6, 0, 3): 64
(14, 13, 8, 11): 64
(13, 14, 2, 12): 64
(15, 4, 0, 8): 32
(13, 12, 2, 3): 96
(9, 6, 2, 8): 128
(14, 2, 8, 15): 64
(13, 12, 2, 7): 96
(15, 3, 0, 14): 64
(12, 4, 8, 8): 96
(15, 6, 0, 6): 64
(8, 1, 2, 10): 96
(13, 10, 2, 8): 64
(14, 9, 8, 9): 96
(15, 8, 0, 12): 96
(9, 12, 2, 2): 96
(8, 14, 2, 12): 64
(15, 4, 0, 13): 32
(12, 1, 8, 2): 32
(14, 7, 8, 2): 64
(13, 8, 2, 13): 32
(9, 10, 2, 4): 64
(15, 3, 0, 11): 64
(15, 8, 0, 9): 96
(12, 10, 8, 4): 64
(8, 12, 2, 7): 96
(9, 1, 2, 15): 96
(14, 5, 8, 13): 32
(13, 5, 2, 9): 32
(12, 12, 8, 15): 32
(9, 14, 2, 0): 64
(8, 10, 2, 8): 64
(12, 14, 8, 0): 64
(13, 13, 2, 6): 96
(14, 9, 2, 2): 64
(8, 13, 0, 15): 96
(9, 2, 2, 12): 128
(13, 15, 2, 13): 64
(13, 0, 2, 11): 96
(12, 5, 8, 12): 96
(8, 0, 0, 2): 96
(8, 13, 0, 10): 96
(9, 7, 2, 9): 128
(13, 11, 2, 9): 64
(14, 4, 8, 3): 64
(9, 0, 2, 14): 96
(8, 0, 0, 7): 96
(12, 9, 8, 9): 96
(14, 1, 2, 12): 96
(9, 11, 2, 5): 64
(14, 3, 8, 8): 64
(12, 13, 8, 14): 32
(9, 13, 2, 3): 96
(8, 13, 2, 6): 96
(12, 11, 8, 5): 64
(14, 8, 8, 14): 64
(8, 15, 2, 13): 64
(12, 0, 8, 3): 32
(9, 15, 2, 1): 64
(14, 6, 8, 12): 64
(14, 13, 2, 8): 32
(8, 0, 2, 11): 96
(10, 14, 2, 13): 128
(12, 15, 8, 1): 64
(14, 10, 2, 15): 64
(8, 11, 2, 9): 64
(13, 9, 8, 13): 96
(14, 5, 2, 4): 96
(12, 11, 2, 10): 64
(10, 1, 2, 10): 64
(15, 13, 8, 7): 64
(14, 14, 2, 3): 64
(12, 0, 2, 12): 32
(8, 1, 0, 3): 96
(14, 8, 2, 1): 96
(10, 10, 2, 8): 128
(12, 15, 2, 7): 64
(13, 5, 8, 8): 96
(14, 12, 2, 6): 64
(15, 0, 8, 11): 64
(10, 12, 2, 6): 64
(8, 1, 0, 6): 96
(14, 2, 2, 13): 64
(8, 12, 0, 14): 96
(12, 13, 2, 8): 32
(15, 7, 8, 15): 64
(13, 15, 8, 2): 64
(9, 11, 2, 10): 64
(8, 12, 0, 11): 96
(14, 7, 2, 9): 64
(15, 5, 8, 9): 96
(9, 0, 2, 12): 32
(15, 4, 2, 2): 64
(10, 6, 2, 4): 64
(15, 2, 8, 2): 64
(13, 11, 8, 15): 64
(9, 15, 2, 7): 64
(15, 9, 8, 13): 32
(9, 13, 2, 8): 32
(10, 3, 2, 0): 64
(12, 10, 2, 6): 64
(10, 15, 2, 7): 64
(12, 12, 2, 13): 32
(9, 14, 0, 10): 64
(12, 14, 2, 11): 64
(9, 14, 0, 15): 64
(12, 1, 2, 9): 32
(10, 11, 2, 11): 64
(15, 1, 2, 8): 32
(10, 0, 2, 9): 96
(15, 14, 2, 15): 64
(13, 8, 8, 9): 96
(9, 10, 0, 7): 64
(9, 10, 2, 6): 64
(15, 8, 8, 3): 64
(9, 10, 0, 2): 64
(9, 12, 2, 13): 32
(15, 13, 2, 2): 64
(15, 6, 8, 8): 64
(9, 14, 2, 11): 64
(10, 5, 2, 5): 32
(13, 14, 8, 14): 64
(9, 1, 2, 9): 32
(15, 10, 2, 3): 64
(15, 4, 8, 14): 64
(15, 0, 2, 14): 64
(10, 13, 2, 2): 64
(15, 5, 2, 1): 96
(15, 3, 8, 12): 64
(13, 10, 8, 3): 64
(15, 0, 2, 6): 64
(15, 7, 2, 13): 64
(11, 10, 2, 13): 128
(10, 0, 2, 14): 64
(14, 11, 8, 13): 128
(11, 12, 2, 10): 64
(9, 15, 0, 6): 64
(15, 2, 2, 9): 64
(14, 13, 8, 10): 64
(10, 7, 2, 10): 64
(11, 14, 2, 8): 128
(9, 15, 0, 3): 64
(14, 15, 8, 8): 128
(9, 11, 0, 11): 64
(8, 0, 8, 15): 32
(0, 1, 8, 2): 80
(14, 0, 8, 6): 64
(11, 1, 2, 6): 64
(8, 11, 8, 9): 64
(10, 2, 2, 7): 64
(14, 5, 8, 2): 64
(9, 11, 0, 14): 64
(8, 13, 8, 2): 32
(14, 2, 8, 4): 64
(0, 13, 8, 14): 80
(8, 15, 8, 13): 64
(14, 9, 8, 15): 64
(11, 3, 2, 4): 64
(0, 9, 8, 12): 48
(14, 7, 8, 0): 64
(14, 10, 8, 7): 64
(11, 6, 2, 0): 64
(10, 3, 0, 10): 64
(14, 14, 8, 11): 64
(11, 11, 2, 7): 64
(10, 8, 2, 6): 64
(0, 12, 8, 15): 80
(10, 8, 0, 12): 96
(14, 12, 8, 9): 96
(11, 0, 2, 12): 96
(10, 3, 0, 15): 64
(11, 15, 2, 11): 64
(0, 0, 8, 3): 80
(10, 8, 0, 9): 96
(8, 12, 8, 3): 32
(10, 6, 0, 7): 64
(10, 4, 2, 11): 64
(14, 8, 8, 5): 32
(11, 13, 2, 9): 96
(10, 6, 0, 2): 64
(8, 10, 8, 8): 64
(10, 4, 0, 8): 32
(14, 0, 2, 2): 64
(8, 1, 8, 14): 32
(0, 5, 8, 13): 80
(10, 4, 0, 13): 32
(15, 15, 8, 13): 128
(8, 14, 8, 12): 64
(11, 0, 2, 2): 64
(15, 0, 8, 10): 64
(14, 13, 2, 14): 64
(11, 9, 2, 5): 32
(0, 8, 8, 9): 48
(15, 11, 8, 8): 128
(11, 13, 2, 14): 64
(1, 4, 8, 5): 80
(11, 5, 2, 1): 96
(15, 13, 8, 6): 64
(11, 2, 2, 10): 64
(12, 6, 2, 13): 128
(1, 15, 8, 2): 64
(15, 9, 8, 2): 64
(10, 5, 0, 6): 64
(9, 14, 8, 15): 64
(15, 7, 8, 4): 64
(1, 9, 8, 0): 48
(12, 3, 2, 8): 128
(9, 1, 8, 9): 96
(11, 7, 2, 7): 64
(10, 5, 0, 3): 64
(1, 11, 8, 14): 64
(15, 5, 8, 15): 64
(10, 9, 0, 11): 64
(9, 10, 8, 2): 64
(15, 2, 8, 0): 64
(10, 9, 0, 14): 64
(9, 12, 8, 13): 96
(1, 6, 8, 12): 96
(15, 14, 8, 7): 64
(12, 1, 2, 2): 96
(1, 1, 8, 7): 80
(15, 12, 8, 12): 96
(1, 3, 8, 8): 96
(12, 14, 2, 4): 64
(15, 10, 8, 11): 64
(12, 12, 2, 15): 96
(11, 4, 2, 6): 64
(15, 1, 8, 9): 96
(11, 6, 0, 10): 64
(12, 10, 2, 0): 64
(11, 8, 2, 11): 64
(11, 4, 0, 12): 96
(11, 6, 0, 15): 64
(1, 2, 8, 0): 96
(1, 5, 8, 3): 80
(9, 15, 8, 3): 64
(15, 4, 8, 5): 32
(12, 7, 2, 12): 128
(11, 4, 0, 9): 96
(1, 9, 8, 14): 80
(11, 3, 0, 7): 64
(9, 13, 8, 8): 96
(11, 3, 0, 2): 64
(4, 7, 8, 5): 96
(1, 15, 8, 10): 64
(9, 11, 8, 14): 64
(11, 8, 0, 8): 32
(11, 8, 0, 13): 32
(9, 0, 8, 12): 96
(4, 5, 8, 2): 80
(12, 2, 2, 9): 128
(15, 8, 8, 1): 96
(1, 13, 8, 12): 48
(12, 13, 2, 14): 96
(4, 9, 8, 14): 80
(0, 3, 10, 13): 96
(10, 12, 8, 7): 64
(12, 15, 2, 5): 64
(4, 15, 8, 10): 64
(12, 0, 2, 3): 96
(1, 12, 8, 9): 48
(0, 8, 10, 10): 80
(0, 6, 10, 8): 96
(10, 1, 8, 11): 64
(4, 13, 8, 12): 48
(12, 11, 2, 1): 64
(11, 9, 0, 3): 64
(13, 2, 2, 13): 128
(0, 4, 10, 6): 80
(2, 11, 8, 2): 64
(1, 6, 8, 4): 96
(10, 4, 8, 15): 64
(11, 9, 0, 6): 64
(1, 4, 8, 3): 80
(11, 5, 0, 14): 64
(2, 4, 8, 0): 48
(0, 10, 10, 2): 64
(13, 7, 2, 8): 128
(10, 3, 8, 9): 64
(11, 5, 0, 11): 64
(4, 8, 8, 15): 80
(10, 8, 8, 2): 64
(2, 15, 8, 14): 64
(0, 14, 10, 15): 64
(10, 6, 8, 13): 64
